연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
1,1,150,서울역(1),863461,890851,1827089,1841712,1841724,1152743,973900,942249,957461,1125594,1270865,1186130
2,1,151,시청(1),420304,420686,954481,955202,902354,536217,477840,451248,451677,507332,590817,572133
3,1,152,종각,685203,706115,1598997,1572365,1522428,885428,767958,720164,702153,799319,919350,874553
4,1,153,종로3가(1),507414,549933,1084476,1059282,1053215,691110,612154,601553,608293,696209,712182,662781
5,1,154,종로5가,469264,475339,1100841,1071587,1057283,600243,536493,509050,519447,583177,595547,581392
6,1,155,동대문(1),256066,263661,518941,516203,534078,322837,293488,277194,294388,318606,325673,311278
7,1,156,신설동(1),302824,303032,619630,612162,585930,372430,341091,321984,331800,358116,382103,365501
8,1,157,제기동,403318,399479,856855,840817,803150,462157,418689,413272,444371,468102,472466,446859
9,1,158,청량리,474816,475455,984832,971438,954219,556107,504755,493453,510224,547583,551132,534359
10,1,159,동묘앞(1),217060,225393,466118,466145,473496,267192,229579,233543,254232,282016,261194,240016
11,2,201,시청(2),468716,466343,878605,858597,776103,566009,500419,472993,458465,508414,599027,588293
12,2,202,을지로입구,808953,802616,1514215,1483634,1384814,979693,861628,820152,807028,888221,1010266,1072134
13,2,203,을지로3가(2),427105,428152,812443,809693,774771,561764,488698,459130,445571,502379,581325,575472
14,2,204,을지로4가(2),280398,266145,466650,460805,434689,329270,298623,282786,278868,306902,336803,334159
15,2,205,동대문역사문화공원(2),265465,266341,458932,445874,444863,339203,301824,285280,293115,330864,347248,354089
16,2,206,신당(2),310161,309270,561064,549782,543224,372218,338781,326940,330951,364265,379993,375707
17,2,207,상왕십리,305209,302190,567313,560551,548039,381203,343104,328148,329053,362014,388285,384048
18,2,208,왕십리(2),340093,348656,603572,588578,586244,437006,380651,361553,367238,420517,454274,448845
19,2,209,한양대,139955,135636,328930,348445,308624,210033,155445,141709,147749,184263,233274,203552
20,2,210,뚝섬,438743,453689,909069,951797,906202,600658,506703,484267,491635,543231,590382,584245
21,2,211,성수,725471,729910,1472683,1454755,1390149,911019,833890,794447,786161,863096,954990,957212
22,2,212,건대입구(2),754086,760367,1309046,1284983,1336501,951749,826879,797957,815961,936596,991081,974599
23,2,213,구의,521051,512277,875494,864125,845417,621685,572380,545969,545316,595315,639932,634908
24,2,214,강변,652485,697786,1127750,1114022,1138249,840769,739302,722515,748997,829542,878285,840357
25,2,215,잠실나루,297796,292441,533443,528467,503968,376914,332643,319618,320502,353964,384310,366987
26,2,216,잠실(2),1413264,1497754,2457804,2409200,2451901,1821778,1577929,1543551,1550951,1830324,1957294,1981163
27,2,217,잠실새내,451329,454079,781395,773119,771453,559641,505129,479304,478489,537463,577570,570048
28,2,218,종합운동장(2),142309,145493,281801,318255,310902,229339,177671,160267,166830,196706,262473,196921
29,2,219,삼성,1042373,1037212,1922629,1842387,1791731,1331133,1097244,1078243,1047694,1202911,1401464,1423459
30,2,220,선릉,1155809,1109130,1947480,1893601,1762933,1398023,1264449,1184586,1142587,1270429,1440621,1411869
31,2,221,역삼,1039162,998107,1927373,1899886,1768075,1254469,1119453,1055214,1019577,1122250,1303915,1284788
32,2,222,강남,1739479,1834441,3136550,3023882,2967946,2213995,1996361,1878762,1804815,2017926,2230674,2196706
33,2,223,교대(2),706019,692041,1248704,1221282,1147290,864443,776350,736475,723052,797831,878434,852816
34,2,224,서초,441090,442183,785801,788876,745412,565869,492919,469338,459612,517692,589216,563384
35,2,225,방배,358838,348462,666963,625972,600194,442333,375309,355986,374783,421143,466181,434641
36,2,226,사당(2),788818,796601,1369599,1341044,1320101,987303,859713,824536,839424,967573,1058074,1001159
37,2,227,낙성대,611238,600731,1056340,1039194,1022893,743245,678262,651134,648153,716142,755631,743411
38,2,228,서울대입구,1045492,1050972,1823297,1784865,1765184,1283758,1173028,1125814,1113101,1244367,1316888,1299814
39,2,229,봉천,538478,524874,903720,893713,867598,650195,593257,566344,564167,614410,647974,637861
40,2,230,신림,1438187,1408964,2429795,2386876,2360061,1702576,1569292,1507360,1491800,1648888,1737405,1737902
41,2,231,신대방,594595,580841,1032517,1035510,1013634,723113,662813,634711,635315,693188,730515,716669
42,2,232,구로디지털단지,1320907,1288639,2392388,2352255,2208522,1590792,1422808,1334495,1311614,1441127,1594644,1572650
43,2,233,대림(2),561116,549406,949929,941602,922364,671042,601876,578469,581593,633997,664241,649524
44,2,234,신도림,1080327,1088615,2048716,2017088,1989167,1336018,1183457,1117178,1120762,1270723,1342670,1302365
45,2,235,문래,447436,445163,859209,854585,820174,556603,495975,466574,462256,511876,567714,556079
46,2,236,영등포구청(2),498922,484171,876123,861218,815155,595821,543020,509680,506152,556100,609289,608503
47,2,237,당산,397861,397674,749638,748797,718426,508956,438891,420154,429207,472978,506549,486919
48,2,238,합정(2),645604,682028,1253649,1232215,1249241,854029,735829,728271,721219,822962,866955,859967
49,2,239,홍대입구,1067899,1248767,2331772,2236829,2467733,1510673,1193028,1251204,1279971,1484139,1547969,1585253
50,2,240,신촌,682443,726104,1358315,1312085,1349692,881687,794070,766902,771289,858035,911957,898012
51,2,241,이대,244002,254903,532646,504032,531970,344819,300497,288771,300523,333743,376061,353094
52,2,242,아현,221614,218810,406996,403115,394800,284250,252341,242996,247701,273369,284424,274388
53,2,243,충정로(2),213485,208509,376417,371467,350752,263495,233579,217175,217207,239352,264723,259481
54,2,244,용답,62108,60296,104314,102490,102573,79085,71390,67654,69789,76924,81476,79497
55,2,245,신답,35304,34841,54141,52499,51279,43688,39563,37668,38075,41740,45195,44419
56,2,246,신설동(2),82813,81855,147180,147116,146424,94289,85290,82497,83397,91888,97800,96964
