"가정별","성별","연령별",2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","45 - 49세",2278705,2308830,2280977,2225868,2136552,2058849,1992320,1940538,1960711,2004285,2052418
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","50 - 54세",2107628,2075419,2159754,2177535,2219745,2254036,2277834,2246290,2202213,2118286,2045909
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","55 - 59세",2102223,2164174,2147149,2121562,2067112,2063993,2030226,2111153,2136360,2182630,2221410
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","60 - 64세",1554982,1668124,1787518,1876783,1999078,2040622,2099546,2077911,2057110,2010146,2011870
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","65 - 69세",1098706,1132243,1177211,1280138,1394539,1477973,1585219,1700710,1786562,1906821,1950999
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","70 - 74세",800334,825893,876494,928928,975476,1015098,1050102,1092815,1190740,1299346,1380954
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","75 - 79세",620799,663906,672113,685809,675802,699025,726761,773988,822910,864803,903733
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80세이상",482218,524710,576516,626047,676916,746719,812128,851910,894037,917139,983571
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80 - 84세",328523,355506,387167,412934,438039,480093,517770,526011,538403,531466,555282
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","85 - 89세",115958,128236,143004,162714,184365,205105,225017,247185,265468,283359,313388
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","90 - 94세",30906,32865,37779,41611,45641,51870,58645,66452,76720,87576,97987
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","95 - 99세",6289,7505,7776,7927,7979,8615,9452,11019,12215,13483,15518
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","100세 이상",542,598,790,861,892,1036,1244,1243,1231,1255,1396
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","계",25625118,25727369,25816116,25910542,25887071,25837747,25808326,25785360,25764584,25744621,25724939
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","0 - 4세",1048855,993553,940411,865365,787402,722167,669679,625977,598709,587667,589539
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","5 - 9세",1120380,1112018,1107062,1109604,1086906,1044765,987296,930160,855624,777595,715274
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","10 - 14세",1090502,1094811,1084319,1089908,1113957,1121016,1111210,1104413,1105226,1082047,1041376
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","15 - 19세",1427984,1349367,1288144,1210892,1129343,1099053,1103101,1093354,1094877,1118248,1126442
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","20 - 24세",1647591,1637892,1616028,1612791,1567147,1479419,1387074,1318269,1234511,1159676,1137419
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","25 - 29세",1576396,1625029,1663507,1695619,1711356,1691899,1670135,1638650,1617979,1579896,1505297
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","30 - 34세",1666377,1595783,1563225,1562091,1558883,1590674,1632175,1664448,1686158,1705944,1693227
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","35 - 39세",1964371,1981010,1955867,1867239,1773293,1671165,1592623,1555258,1550013,1551301,1586702
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","40 - 44세",1995148,1930092,1877437,1892398,1922568,1966262,1977032,1948039,1858272,1769057,1670609
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","45 - 49세",2228237,2244349,2206645,2159864,2074336,1998180,1929560,1875630,1891398,1925614,1973087
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","50 - 54세",2056212,2046854,2138136,2160734,2203458,2227687,2239207,2199435,2152669,2071270,1999191
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","55 - 59세",2123676,2176334,2148244,2115505,2044423,2042287,2030851,2120648,2141731,2187395,2215098
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","60 - 64세",1615386,1720944,1840431,1937587,2065385,2103576,2152660,2122176,2086412,2019639,2020436
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","65 - 69세",1187813,1224345,1271411,1382094,1501043,1585271,1688374,1806615,1898885,2026440,2066344
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","70 - 74세",956466,969497,1009612,1061419,1115455,1152833,1190258,1236046,1342489,1459578,1543485
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","75 - 79세",873516,915243,917522,922655,891729,901862,916599,956817,1005727,1057101,1094947
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80세이상",1046208,1110248,1188115,1264777,1340387,1439631,1530492,1589425,1643904,1666153,1746466
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","80 - 84세",601756,631903,668672,696308,719902,766878,808102,811457,814561,787476,800795
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","85 - 89세",309209,330352,354414,385986,421735,452548,479906,511344,534132,554611,594083
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","90 - 94세",107174,114711,130469,145710,158728,175213,191341,208456,230058,252755,272168
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","95 - 99세",24744,29728,30579,32281,35207,39454,44215,51177,57741,63115,70065
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","100세 이상",3325,3554,3981,4492,4815,5538,6928,6991,7412,8196,9355
