연번,호선,역번호,역명,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
221,7,2719,태릉입구(7),246939,207129,179935,191516,222179,226126,232710,197433,186259,221930,223783,181221
222,7,2720,먹골,305995,265883,233762,243358,267656,271748,284819,243485,233551,263835,266274,230564
223,7,2721,중화,330578,287319,253804,263324,287193,294137,307330,267875,255528,283428,287725,250089
224,7,2722,상봉(7),510796,448281,392971,409636,442416,451548,473062,406917,388449,443916,448914,382129
225,7,2723,면목,449819,390725,355088,369094,398297,414409,428437,368718,359449,408228,415469,351094
226,7,2724,사가정,462143,400672,360469,378804,412533,420745,438901,383936,378340,433162,433499,376635
227,7,2725,용마산,176260,154589,138230,144592,156089,160608,167884,143428,140060,158890,159744,136477
228,7,2726,중곡,290206,252160,218787,225957,246883,258308,273785,231149,225461,255657,261634,225391
229,7,2727,군자(7),435913,376564,332228,347966,372877,384935,405239,345709,328384,370591,378583,327248
230,7,2728,어린이대공원,368042,297751,254263,266688,300605,307271,318141,272147,264914,314812,331294,263301
231,7,2729,건대입구(7),439263,333594,277316,294830,325948,331561,355457,306191,279768,326263,331004,282851
232,7,2730,뚝섬유원지,215183,177566,217780,232112,270015,264098,274323,178092,198262,229885,200004,157784
233,7,2731,청담,554869,501786,422513,432286,469066,504855,523837,441295,422618,464109,489055,423130
234,7,2732,강남구청,430895,400122,343013,351312,376197,402476,420332,354309,343116,377680,396881,343850
235,7,2733,학동,618715,568356,508967,505604,531445,584498,612778,514653,503798,538984,583632,510238
236,7,2734,논현,558356,502497,446921,456157,481343,510850,535746,449693,430954,483417,502544,427292
237,7,2735,반포,184898,152736,125615,137081,157553,164317,172748,146033,136320,149891,149686,126977
238,7,2736,고속터미널(7),626673,425660,312001,349493,426984,421610,443370,399011,328245,435337,434180,330232
239,7,2737,내방,397046,345354,303877,312127,343604,364309,386862,335987,320725,348993,362646,313528
240,7,2738,이수(7),491966,418111,349929,370924,406017,417712,439860,374217,349808,398470,406927,334195
241,7,2739,남성,332261,283989,244967,258909,286526,297572,311700,269007,258765,290830,297004,250650
242,7,2740,숭실대입구,373009,301589,248714,269764,302639,329332,324553,276779,268985,316994,317125,259990
243,7,2741,상도,321854,267770,223487,236270,259791,273339,288904,250509,239324,265051,276185,230304
244,7,2742,장승배기,309833,261824,221749,232645,258148,264288,279119,241001,227230,253969,259235,219697
245,7,2743,신대방삼거리,484709,419605,364828,382098,413449,433815,453277,393126,378603,417145,427091,368430
246,7,2744,보라매,273144,239650,203316,218061,248964,260115,271341,227396,221124,247505,256501,213588
247,7,2745,신풍,339197,280944,245096,263339,286374,294594,312385,274161,264639,299367,308775,264714
248,7,2746,대림(7),301902,184513,153394,180191,214835,214847,227321,212368,203905,228560,221405,184908
249,7,2747,남구로,462416,386623,346088,357566,383878,400357,420543,371067,368543,391818,406586,365953
250,7,2748,가산디지털단지(7),1160306,1045388,932968,980214,1023788,1121356,1169451,967222,969278,1047173,1117616,988612
251,7,2749,철산,671916,564089,472798,512601,559516,579884,619428,517651,487941,560397,570670,467814
252,7,2750,광명사거리,738853,608772,529310,560932,612053,619051,650428,559303,548660,597737,602952,519411
253,7,2751,천왕,288826,248694,214268,229835,250493,265391,280197,241117,240081,271371,279505,239015
254,7,2752,온수(7),286721,256387,227231,235517,252382,276580,290105,240647,240858,270723,279115,234044
255,7,2753,까치울,208906,181338,164371,176017,189521,193525,210206,176350,172367,200192,198242,164805
256,7,2754,부천종합운동장,135526,115774,106525,107897,112893,117971,124967,103601,103120,116909,115855,103475
257,7,2755,춘의,260885,230690,209720,213116,217800,231835,247785,216579,218061,233464,243022,219717
258,7,2756,신중동,425502,357379,311931,329084,349811,358386,392242,332110,314666,355512,362670,311124
259,7,2757,부천시청,368831,300617,264516,280989,293827,304889,333986,288499,276334,318611,321034,271269
260,7,2758,상동,414204,333823,276339,297483,319203,318555,354944,304233,276757,327427,333937,265139
261,7,2759,삼산체육관,149915,120096,100676,107540,115547,119477,130682,108294,104023,122823,124900,102084
262,7,2760,굴포천,267848,223154,194444,203986,216553,218939,237396,204893,194579,221850,225104,190644
263,7,2761,부평구청(7),343232,294778,258319,267188,280788,293216,316829,265758,259091,289741,299156,253421
264,8,2811,암사,547559,467879,407307,430172,469785,494844,519149,439717,423317,477031,488442,418693
265,8,2812,천호(8),521139,441596,374165,394738,423622,435295,453521,385787,357699,408227,413967,352373
266,8,2813,강동구청,311149,260730,221263,229633,252808,265414,282108,237458,227079,255198,265122,228102
267,8,2814,몽촌토성,162978,133930,117204,127262,139041,139304,148415,125034,121587,151951,149122,122650
268,8,2815,잠실(8),488782,362440,304821,316773,356277,360233,393085,344760,306790,365752,372294,311805
269,8,2816,석촌(8),235308,194682,166539,175888,191671,195561,207285,177381,168039,192801,196720,167229
270,8,2817,송파,275453,219785,182595,194747,219260,234441,245788,203989,184795,205587,209708,171495
271,8,2818,가락시장(8),243140,197549,173265,183498,197562,203403,215188,179418,185034,201953,207464,180110
272,8,2819,문정,549222,502460,442752,450253,469023,518158,546945,452900,445835,485555,520919,451728
273,8,2820,장지,534377,439519,364109,394131,433731,456253,482695,406209,385387,442979,453846,381357
274,8,2821,복정(8),306724,261103,217408,232254,257443,275485,287224,234641,225165,270934,279877,225531
275,8,2822,산성,158468,135329,118771,126338,142027,148259,146550,141805,156419,195300,191110,153879
276,8,2823,남한산성입구,390178,335839,288764,306137,339882,365530,370247,307139,306356,359672,365698,305479
277,8,2824,단대오거리,308403,263884,227112,238949,261215,268363,278722,233831,227969,259725,267943,229933
278,8,2825,신흥,146909,121785,101566,107285,119112,120847,127036,112220,103671,117451,118516,105202
279,8,2826,수진,172780,138277,109073,115844,128968,132435,142833,125132,117687,134331,135346,118148
280,8,2827,모란(8),147610,115994,96589,109068,121508,121717,127438,108351,105487,123999,119623,100878
281,9,4126,언주,267404,233304,197046,200684,215255,237761,256578,221322,205682,223749,239377,207599
282,9,4127,선정릉,245139,216207,186586,194625,210566,229432,244079,202089,193803,219292,229407,188988
283,9,4128,삼성중앙,174569,153451,127737,134487,146068,162227,177043,145603,136430,152717,161158,136375
284,9,4129,봉은사,522174,405001,296261,312643,361684,405098,445013,383365,309110,369863,407174,313797
